Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating
4,30,80,Stu and Stewie's Excellent Adventure (Part 3)[c],Pete Michels,None,Steve Callaghan,"Aldin Barozza, Bob Bowen, Won Ki Cho, Joe Daniello, Rick Del Carmen, Mark Ervin, Steven Fonti, Jennider Graves, Young Lee, John Mcintyre, Erik Moxcey, Dan Povenmire, Young Beak, Dominic Bianchi, Mark Covell, Louis Gallegos, Phil Langone, Spencer Laudiero, Ted Seko, Brandon Strathmann, Niki Hyun Yang",None,"Stewie Griffin, Stu Griffin","Peter, Lois, Meg/Ron Griffin, Ron, Chris, Brian, Cleveland, Quagmire, Joe, Vanessa Griffin, Evan, Shirley Blitt, Jonny Quest, Bono, Hadji, Vincent van Gogh, Kurt Cobain, Ernest Hemingway, Brad, Chevy Chase","Short Shorts, No More Tears (Enough Is Enough)",21-May-06,4ACX07,7.88,TV-14,23,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.8
5,1,81,Stewie Loves Lois,Mike Kim,Anthony Agrusa,Mark Hentemann,"Dominic Bianchi, Paul Scarlata",None,"Stewie Griffin, Lois Griffin, Peter Griffin, Dr. Hartman","Meg, Chris, Brian, Glenn Quagmire, Cleveland Brown, Joe Swanson, Mr. Sulu, Dr. McCoy, Mayor Adam West, Robin, Kermit the Frog, Seamus, Tricia Takanawa, Rupert, Judge, Jesus, Tom Tucker, Diane Simmons, Evil Monkey, Primus, Michael Jackson, Dr. Jekyll",None,10-Sep-06,4ACX32,9.93,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.2
5,2,82,Mother Tucker,James Purdum,Brian Iles,Tom Devanney,"Phil Langone, Niki Hyun Yang","Phyllis Diller, Gore Vidal","Peter Griffin, Thelma Griffin, Tom Tucker","Lois, Meg, Chris, Stewie, Brian, Glenn Quagmire, Cleveland Brown, Karen, Carl, Bill and Tim, Thaddeus Griffin, Weenie and the Butt, Jake Tucker, Darth Vader, Kermit the Frog, Fern Arable, Charlotte, The cast of Peanuts, Amy Grant, Al Michaels, Harold Ramis, Rachel Keller, Kim Cattrall, Andrew McCarthy, Gore Vidal, Ray Romano, Tim McCarver, Greta Van Susteren, Paris Hilton, Nicole Richie, Kristen Bell",Hope & Rape (deleted),17-Sep-06,4ACX31,9.23,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4
5,3,83,Hell Comes to Quahog,Dan Povenmire,Chris Robertson,Kirker Butler,"Young Lee, Perry Zombolas",None,"Peter Griffin, Meg Griffin","Lois, Brian, Stewie, Chris, Cleveland Brown, Joe Swanson, Glenn Quagmire, Paddy Tanniger, Herbert, Jesse, Mort Goldman, Jim Kaplan, Tom Tucker, Diane Simmons, Ollie Williams, Angela, Opie, Mr. Penisberg, Tim, Joanie, Sloth, Yogi Bear, Boo-Boo Bear, Iceman, Mr. Moose, Alex, Gloria, Parker Fennelly, The cast of The Electric Company, Tom Brokaw, Jennifer Love Hewitt, Bill Pullman, Jeff Daniels, Richard Gere",Red Dawn: The Musical,24-Sep-06,4ACX33,9.66,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5
5,4,84,Saving Private Brian,Cyndi Tang,Greg Lovell,Cherry Chevapravatdumrong,"Won Ki Cho, Rick Del Carmen","Louis Gossett, Jr.","Peter Griffin, Lois Griffin, Chris Griffin, Stewie Griffin, Brian","Meg, Splash Log, Vern and Johnny, Sergeant Extreme, Major Awesome, Herbert, Peggy, Marilyn Manson, Madonna, Mickey Rooney, Minnie Driver, Zinédine Zidane, Muddy Waters, Gregory Peck, George W. Bush, Dr. Katz, Brad Garrett, Ashlee Simpson, Will Smith, Bob Geldof, MC Hammer, Michael Jackson, Mayor Adam West","Evil Monkey Song, Over There, I am Peter Griffin",5-Nov-06,4ACX34,8.45,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6
5,5,85,Whistle While Your Wife Works,Greg Colton,Deborah Cone,Steve Callaghan,"Phil Langone, Niki Hyun Yang","Drew Barrymore, Carrie Fisher","Brian, Stewie, Jillian, Peter Griffin, Lois Griffin","Meg, Chris, Opie, Angela, Glenn Quagmire, Cleveland Brown, Joe Swanson, Buzz Killington, Mr. Cohen, Greg, The Lord of Darkness, Danny DeVito, Rhea Perlman","There's a Hole in the Bottom of the Sea, U.G.L.Y., Cars",12-Nov-06,4ACX35,9.04,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7
5,6,86,Prick Up Your Ears,James Purdum,Brian Iles,Cherry Chevapravatdumrong,"Mark Covell, Steve Fonti","Drew Barrymore, Lauren Conrad","Peter Griffin, Lois Griffin, Meg Griffin, Chris Griffin, Stewie Griffin, Brian","Jillian, Mayor Adam West, Paul, Glenn Quagmire, Cleveland Brown, Rodney King, Tooth Fairy, Dr. Hartman, Rupert, Debbie, Matthew, Harry Houdini, Bess Houdini, Mel Gibson, Liam Neeson, Dianne Wiest, Pablo Picasso, Jerry Kirkwood, Doug, Principal Shepherd, Britney Spears, Michael Jackson, Herbert, Kool-Aid Man, Evil Monkey",None,19-Nov-06,5ACX01,9.3,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3
5,7,87,Chick Cancer,Pete Michels,Perry Zombolas,Alec Sulkin & Wellesley Wild,"Phil Langone, Joseph Lee",Lizzy Caplan,"Peter Griffin, Lois Griffin, Stewie Griffin, Olivia Fuller","Meg, Chris, Brian, Jillian Russell, Rupert, Joe Swanson, Bonnie Swanson, Glenn Quagmire, Cleveland Brown, Luke Skywalker, Mort Goldman, Mayor Adam West, Q*bert, Chester Cheetah, Fouad, Victor, Sassy, Chuck Berry, Sandra Oh, Howard Hesseman, Richard Gere",Tasty Juice,26-Nov-06,5ACX02,9.49,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5
5,8,88,Barely Legal,Zac Moncrief,Jeff Stewart,Kirker Butler,"Dominic Bianchi, Young Lee",Garrett Morris,"Meg, Brian","Peter, Stewie, Lois, Chris, Jillian, Mayor Adam West, Joe Swanson, Glenn Quagmire, Cleveland Brown, Mort Goldman, Herbert, Opie, Connie DiMico, Tricia Takanawa, Bruce, Garrett Morris, Jimmy, Allison Janney, Michael Douglas, Kathleen Turner, Emperor Palpatine, Darth Vader, Esther, Ruth, Patty, Beth",A Brand New Day/Everybody Rejoice,17-Dec-06,5ACX03,8.48,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9
5,9,89,Road to Rupert,Dan Povenmire,Chris Robertson,Patrick Meighan,"Deborah Cone, Won Ki Cho","Rob Lowe, George Wendt","Peter, Stewie, Brian, Meg, Rupert","Lois, Chris, Herbert, Joe, Cleveland, Quagmire, Mayor Adam West, Stanford Cordray, Timmy Cordray, Gene Kelly, Norm Peterson, Woody Boyd, Cliff Clavin, Emmanuel Lewis, Sharon Stone, Pat Robertson, Jerry Falwell, Burt Reynolds, Sally Field, Billy Dee Williams, Chrone, SpongeBob SquarePants, Patrick Star, Frasier Crane, Pebbles Flintstone, Bamm-Bamm Rubble, Dr. McCoy","My Black Son, The Worry Song, Campfire Song Song, Country Road",28-Jan-07,5ACX04,8.8,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9
5,10,90,Peter's Two Dads,Cyndi Tang,Greg Lovell,Danny Smith,"Michael Loya, Michael Rundle","Charles Durning, Phyllis Diller","Peter, Brian, Stewie, Meg, Lois, Mickey McFinnigan","Chris, O'Brian, Herbert, Bruce, Francis, Quagmire, Cleveland, Joe, Bonnie, Kevin, Dr. Hartman, Thelma, Beth, Ruth, Robert Loggia, Mother Teresa, Ben Affleck, Sarah Jessica Parker, Matthew McConaughey Yoda, Obi-Wan Kenobi, Hayden Christensen, Patty, Esther","My Drunken Irish Dad, Friends and Lovers, Sixteen Going on Seventeen",11-Feb-07,5ACX05,7.97,TV-MA,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6
5,11,91,The Tan Aquatic with Steve Zissou,Julius Wu,John Banh,Mark Hentemann,"Mark Covell, Steve Fonti",None,"Stewie, Brian, Chris, Peter","Cleveland, Joe, Quagmire, Meg, Lois, Herbert, Kyle, Randy Fulcher, Britney Spears, Mr. Furley, Fran Drescher, Martin Landau, Turn of the Century Take on all Comers Griffin, Terry the Tiger, Devon, Dick Cheney, Kermit the Frog, Swedish Chef, Fozzie Bear","The Lonely Goatherd, Kokomo",18-Feb-07,5ACX06,8.53,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.6
5,12,92,Airport '07,John Holmquist,Rick Del Carmen,Tom Devanney,"Dominic Bianchi, Mark Miraglia",Hugh Hefner,"Peter, Quagmire, Joe, Cleveland","Lois, Brian, Meg, Stewie, Chris, Hugh Hefner, Carl Sagan, Marlee Matlin, Sandy, Herbert, Mayor Adam West, Stink Fleaman, Mike Drunkbeater, Walt Abernathy, Larry, Tom Tucker, Diane Simmons, Nien Nunb, Queen Latifah, Ollie Williams, Paris Hilton","Prom Night Dumpster Baby, Uncensored versions: Hot Diggity (Dog Ziggity Boom), He's Quagmire",4-Mar-07,5ACX08,8.59,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.7
5,13,93,Bill & Peter's Bogus Journey,Dominic Polcino,Joseph Lee,Steve Callaghan,"Phil Langone, Niki Hyun Yang",Roy Scheider,"Peter, Bill Clinton, Lois","Brian, Meg, Stewie, Chris, Quagmire, Cleveland, Joe Swanson, Mayor Adam West, Barbara Pewterschmidt, Carter Pewterschmidt, Herbert, Jesse, Seamus, Ol' Woody, Roy Scheider Conway Twitty, Phineas & Barnaby, Hungry Hank, Joseph Merrick, The Thing, Alexander Graham Bell, Thomas Watson, Uma Thurman","Steak and Eggs, Barbie Girl",11-Mar-07,5ACX07,8.05,TV-14,21,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3
5,14,94,No Meals on Wheels,Greg Colton,Deborah Cone,Mike Henry,"Won Ki Cho, Young Baek",Patrick Stewart,"Peter, Joe","Lois, Chris, Meg, Stewie, Quagmire, Cleveland, Dr. Hartman, Brian, Mort Goldman, Herbert, Jim Kaplan, Gerald, Mexican Super Friends, Violet Gray, Pig-Pen, Ben Stiller, Tyra Banks, Liza Minnelli, M.C. Escher, Mark Harmon, Bruce Willis","And Then There's Maude, Going Up the Stairs",25-Mar-07,5ACX09,7.97,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2
5,15,95,Boys Do Cry,Brian Iles,Dominic Bianchi,Cherry Chevapravatdumrong,"Michael Loya, Michael Rundle","Gilbert Gottfried, Bill Engvall","Lois, Stewie, Peter","Meg, Chris, Brian, Quagmire, Bruce, Mayor Adam West, Herbert, Diane Simmons, RJ, Jesus Christ, Jake Tucker, Tom Tucker, Seamus, Sneakers O'Toole, Super Devil, Chuck Norris, Dick Cheney, George W. Bush, Julia Louis-Dreyfus, Christie Brinkley, The Lynches, Duke Dillon, Dallas Houston, Jillian, S&M cow, Dixie Ann Thomas, Texas Youth Club, Gilbert Gottfried","Sneakers O'Toole, I Know What Boys Like, Great Balls of Fire Uncensored version: Hymn 387",29-Apr-07,5ACX10,8.13,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2
5,16,96,No Chris Left Behind,Pete Michels,Perry Zombolas,Patrick Meighan,"Mark Covell, Kurt Dumas, Steve Fonti, Spencer Laudiero","Josh Radnor, Neil Patrick Harris","Lois Griffin, Chris Griffin, Peter Griffin","Meg, Stewie, Brian, Josh Radnor, Neil Patrick Harris, Quagmire, Carter Pewterschmidt, Herbert, Ernie the Giant Chicken, Nicole, Mel Gibson, Bruce, Principal Shepherd, Sylvester Stallone, King Friday XIII, Rogers Chapstick, Virgil Mastercard, James Bottomtooth IV, Johann, Thunder, Rocky Balboa, Paulie Pennino",None,6-May-07,5ACX11,7.95,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3
5,17,97,"It Takes a Village Idiot, and I Married One",Zac Moncrief,Jeff Stewart,Alex Borstein[d],"Phil Langone, Niki Hyun Yang","Keith Olbermann, Donny Most","Lois Griffin, Mayor Adam West","Meg, Peter, Brian, Stewie, Chris, Cleveland, Quagmire, Joe, Tricia Takanawa, Jason Voorhees, Steve, Helen, The Pope, Tom Tucker, Diane Simmons, Evil Monkey, Mort Goldman, Herbert, Principal Shepherd, Dr. Hartman, Jimmy Smits, The Legion of Doom, Angela, Muriel Goldman, Bonnie Swanson, Jake Tucker, Jim Varney, Bob Grossbeard, The Screaming Black Dolphins, Ashley Ferl","Cowboy Butt/Gay Sex, Donny Most, Uncensored version: She'll Be Coming 'Round the Mountain",13-May-07,5ACX12,7.21,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5
5,18,98,Meet the Quagmires,Dan Povenmire & Chris Robertson,None,Mark Hentemann,"Won Ki Cho, Young Baek",None,"Peter Griffin, Lois Griffin, Glenn Quagmire, Brian","Chris, Meg, Stewie, Joe Swanson, Cleveland Brown, Death, Roger, Horace, George Jetson, Jane Jetson, Elroy Jetson, Judy Jetson, Joe Piscopo, Mike Wallace, Molly Ringwald, Pinhead, Ms. Pac-Man, Blinky, Pinky, Inky, Clyde, Ernie the Giant Chicken, Judd Nelson, Tom Cruise, Anthony Michael Hall, Michael Schoeffling, Andy, Marvin Astley","Never Gonna Give You Up, Earth Angel",20-May-07,5ACX13,9.15,TV-14,22,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.4
6,1,99,Blue Harvest,Dominic Polcino,Joseph Lee,Alec Sulkin,"Steve Fonti, Phil Langone, Bao Nguyen, Michael Rundle, Joe Vaux","H. Jon Benjamin, Beverly D'Angelo, Chevy Chase, Rush Limbaugh, Helen Reddy, Judd Nelson","Peter Griffin as Himself and Han Solo, Lois Griffin as Herself and Princess Leia, Brian Griffin as Himself and Chewbacca, Stewie Griffin as Himself and Darth Vader, Chris Griffin as Himself and Luke Skywalker, Glenn Quagmire as C-3PO, Cleveland Brown as R2-D2, Herbert as Obi-Wan Kenobi, Mayor Adam West as Grand Moff Tarkin, Carter Pewterschmidt as Uncle Owen Lars, Barbara Pewterschmidt as Aunt Beru Lars, Mort Goldman as Jawa, Opie as a Tusken Raider, Bruce as Greedo, Meg Griffin as Herself and a Dianoga, Joe Swanson as Biggs Darklighter","Jake Tucker, Tom Tucker, Diane Simmons, Ollie Williams, Fouad, Evil Monkey, Al Harrington, Terry, Roger, Watto, Dr. Alan Rumack, Clark Griswold, Magic Johnson, Redd Foxx, Simply Red, Red Buttons, Helen Reddy, Judd Nelson, Phil Mickelson, Amy Mickelson, John Williams, London Symphony Orchestra, Danny Elfman, Tom Baker, Pignose, Scott, Coach McGuirk, Xenomorph, Imperial Stormtroopers",(I've Had) The Time of My Life,23-Sep-07,5ACX16; 5ACX22,10.86,TV-14,48,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.2
6,2,100,Movin' Out (Brian's Song),Cyndi Tang,Greg Lovell,John Viener,"Michael Rundle, Bao Nguyen",Drew Barrymore,"Jillian, Brian, Stewie Griffin","Peter, Lois, Meg, Chris, Mayor Adam West, Joanna, Seamus, Carl, Glenn Quagmire, Marge Simpson, Herbert, Bucky LaGrange, Valerie Bertinelli, Maggie Gyllenhaal, Jake Gyllenhaal, Stephen Gyllenhaal, Jinx, Sico",None,30-Sep-07,5ACX14,7.95,TV-14,30,1.33 : 1,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2
